Criterios de calificación;;;;;;
;;;;;;
Rúbrica;;;;;;
HTML5 semántico y estructura accesible;No aplica etiquetas semánticas ni estructura válida.;Poca semántica, repetición de etiquetas, estructura confusa.;Estructura básica con etiquetas genéricas y jerarquía deficiente.;Usa parcialmente la semántica, con pequeñas inconsistencias.;Usa casi todas las etiquetas semánticas con jerarquía lógica y mínima redundancia.;"Usa correctamente todas las etiquetas semánticas; jerarquía coherente de encabezados; código limpio y accesible."
;0 puntos;2 puntos;4 puntos;6 puntos;8 puntos;10 puntos
CSS3 adaptable (Responsive Design);"No se adapta; errores visuales severos.";Diseño poco adaptable, sin coherencia entre dispositivos.;"Diseño parcialmente adaptable; errores en alineación o proporciones.";Diseño funcional, pero sin cubrir todos los tamaños o con fallos menores.;Diseño adaptable, con ligeros ajustes faltantes en algunos tamaños.;"Diseño mobile-first fluido con Grid/Flex; tres puntos de quiebre óptimos y sin errores visuales."
;0 puntos;2 puntos;4 puntos;6 puntos;8 puntos;10 puntos
Componentes reutilizables y ARIA;No existen componentes reutilizables ni uso de ARIA.;Componentes rígidos, sin accesibilidad.;Componentes básicos, sin roles ARIA completos o reutilización limitada.;Componentes reutilizables, pero algunos roles/atributos incompletos.;Componentes bien estructurados y con ARIA aplicados correctamente en la mayoría.;Tarjetas, menús y modales reutilizables con roles y atributos ARIA correctos y navegación por teclado funcional.
;0 puntos;2 puntos;4 puntos;6 puntos;8 puntos;10 puntos
Validaciones avanzadas con expresiones regulares;No existen validaciones ni mensajes accesibles.;Validaciones básicas o incompletas.;"Solo algunas validaciones funcionan; sin control de errores claro.";Validaciones parciales o mensajes poco accesibles.;Validaciones completas con pequeños errores de mensajes o formato.;"Formularios completamente validados con regex; mensajes accesibles y dinámicos con aria-invalid y aria-describedby."
;0 puntos;2 puntos;4 puntos;6 puntos;8 puntos;10 puntos
Datos estáticos (JSON/XML);No carga datos locales.;Carga inestable o incorrecta.;Carga básica sin manejo adecuado de errores.;Carga parcial de datos o visualización limitada.;Carga de datos correcta, con detalles menores en formato o ruta.;"Carga de catálogo desde archivos locales (JSON/XML) estructurados; parseo eficiente y renderizado correcto."
;0 puntos;2 puntos;4 puntos;6 puntos;8 puntos;10 puntos
Carrito de compras funcional;No implementa carrito o falla completamente.;Estructura incompleta o poco funcional.;Permite añadir pero no actualizar/eliminar correctamente.;Funciona con errores ocasionales en totales o actualización.;Todas las funciones principales operativas con detalles menores.;"Añade, elimina y actualiza productos; calcula totales dinámicos; interfaz responsive y coherente."
;0 puntos;3 puntos;6 puntos;9 puntos;12 puntos;15 puntos
Persistencia con almacenamiento web (localStorage, sessionStorage, IndexedDB, cookies);No usa ninguna forma de almacenamiento.;"Datos se pierden con facilidad; persistencia inestable.";Persistencia básica solo en localStorage o sessionStorage.;Usa dos estrategias (p. ej. localStorage y cookies) parcialmente.;Usa tres estrategias correctamente y conserva datos entre sesiones.;Implementa correctamente las cuatro estrategias con persistencia integral y recuperación de datos.
;0 puntos;3 puntos;6 puntos;9 puntos;12 puntos;15 puntos
Accesibilidad integral (POUR);"Sin accesibilidad; navegación deficiente.";Accesibilidad mínima o inconsistente.;Cumple algunos aspectos básicos (alt, etiquetas).;Cumple parcialmente, con errores en legibilidad o tabulación.;"Cumple la mayoría de los principios; pequeños detalles de contraste o foco.";"Cumple todos los principios (Perceptible, Operable, Comprensible, Robusto); navegación por teclado completa y foco visible."
;2 puntos;3 puntos;4 puntos;5 puntos;6 puntos;7 puntos
Organización y modularidad del código (MVC / estructura JS);Código desorganizado e ilegible.;Estructura poco clara y sin comentarios.;Archivos desordenados o con lógica repetida.;Organización funcional pero con mezcla de responsabilidades.;Estructura coherente, con leves omisiones de modularidad o comentarios.;"Estructura clara por carpetas (HTML, CSS, JS, data); módulos ES6+ bien organizados y comentados."
;3 puntos;4 puntos;5 puntos;6 puntos;7 puntos;8 puntos
Presentación y documentación;Sin documentación ni presentación adecuada.;README mínimo o ausente.;Explicación breve o incompleta.;Documentación básica y estructura comprensible.;Documentación clara con pequeños detalles faltantes.;Proyecto completo con README explicativo, instrucciones claras y diseño estético y profesional.
;0 puntos;1 puntos;2 puntos;3 puntos;4 puntos;5 puntos
